x, y
0.30055445171578654, 0.00003651471891561173
0.3510079108039666, 0.00002238509754416107
0.38838398669076984, 0.00001440984362825155
0.4462742124389407, 0.000011584851073846617
0.5112548925213721, 0.00000971080489629916
0.5979419092608086, 0.000008663477041319729
0.6937010363840181, 0.000006159534297380425
0.8004507305025071, 0.0000042472487715498275
0.96286855961935, 0.0000035405408737934693
1.1645294989573622, 0.0000034564094147066378
1.4186823912998836, 0.000003209895742956478
1.8959296927229763, 0.0000028301002837592355
2.421868003728463, 0.0000034959004147373247
2.707313563524988, 0.000007079520514769651
2.9061917490711098, 0.000013914678952279661
