x, y
0.2555818405031874, 2.2598684368581442e-7
0.2851530206873357, 1.1193513792548164e-7
0.3163816246159047, 5.5937237408111306e-8
0.35798379529177704, 3.084557002783621e-8
0.44783182537705246, 1.0470413782777408e-8
0.5512128367537771, 4.009415217173955e-9
0.6793177469857606, 1.773859752573245e-9
0.8708161230865089, 6.240978579386317e-10
1.0706917855459488, 2.951844879356745e-10
1.3660154910417923, 1.3007763288800096e-10
1.813521971916791, 5.4854523882930663e-11
2.3464867615478515, 2.4525019923368297e-11
3.156124811231534, 8.995395821795603e-12
4.278786004312678, 3.4577056667818965e-12
5.950666378772672, 1.179881530557257e-12
8.071606805417764, 4.831871561880432e-13
11.149930184716656, 1.9648393423472784e-13
16.036863428839897, 7.403703692756653e-14
20.036016675535034, 3.8452531719929786e-14
23.54114333436246, 2.3683178625361498e-14
