x, y
0.2603649228091565, 0.000005507336360526116
0.26942867166396095, 0.0000029459743108312993
0.28114631096051695, 0.0000015319868938042511
0.28990781255889236, 7.659940894203809e-7
0.3055268434089468, 3.7132617227876343e-7
0.32441680772120696, 1.3773348447507883e-7
0.34658550021406936, 7.268286738893687e-8
0.37720746353837575, 2.22215096332145e-8
0.40812233918949936, 1.0868134260879654e-8
0.44521062423911933, 5.781037895416015e-9
0.4999328356618979, 2.6634832655405555e-9
0.5765871837635863, 1.1004700922612796e-9
0.6686228239960635, 5.221018672209212e-10
0.7885789311900333, 2.6039056600546864e-10
0.9409500201311483, 1.0754650999838376e-10
1.1363746489448925, 5.5233067931251255e-11
1.342778038018745, 2.8284235660065507e-11
1.5953654263198878, 1.485302197359582e-11
1.84794610865767, 9.500726549055275e-12
2.150602011011064, 5.444900394734265e-12
2.4665407712055947, 3.6315165653013415e-12
2.9690199032883218, 1.5724365687617937e-12
3.682248451767644, 7.176789448220281e-13
4.689168994916513, 2.9231375336030733e-13
5.673606645807071, 1.441343806483657e-13
6.696926856112367, 7.435931439912971e-14
8.227765990762792, 3.1312404530936146e-14
9.976018867584083, 1.835584015196074e-14
11.936320095366142, 9.623593346596336e-15
14.969243463207592, 5.288538755104369e-15
18.714661883065357, 2.650020500676905e-15
22.96574544166093, 1.416518321134918e-15
27.629116350758036, 8.554016540011009e-16
33.286251754925864, 5.185236022094693e-16
39.81659240423152, 3.3384128670804684e-16
46.63391791151045, 2.262733158832564e-16
