x, y
0, 1.00
0.0001, 1.00
0.01, 1.0
0.20352542022595757, 0.9882480757265285
0.4348649765775696, 0.9180147133502514
0.6525558004960045, 0.8459395282022661
0.8076432901625793, 0.763938457745018
0.9223012537889226, 0.6198491376815889
1.000146390190135, 0.4066048248872277
0.9963144116836594, 0.000003994225681853743
1.1597978093138606, 7.727114945804536e-7
1.3334424083769634, 2.1654067874026913e-7
1.4572282309176083, 1.0856711851420222e-7
1.711645770184624, 3.4382963431641375e-8
2.0224235326536237, 1.1708614135370419e-8
2.347194475062001, 4.672498304211268e-9
2.6840641361256545, 2.0069559514778188e-9
3.036606158721411, 9.5175237340213e-10
3.4147664645907967, 5.414873382334484e-10
3.805025489115459, 3.3952027820309507e-10
4.197997037751447, 2.2924616415086566e-10
4.597426977128686, 1.638363515077824e-10
4.980581771837972, 1.219157184937123e-10
