x, y
0, 1.00
0.0001, 1.00
0.01, 1.0
0.16322506200055112, 0.970400531735284
0.3916368145494627, 0.9316808524573916
0.6467432488288785, 0.8744663543881701
0.8107863736566547, 0.7677106222636323
0.955712661890328, 0.5917066363980767
1.000490837696335, 0.00697881689915029
0.9954102369798843, 0.000006795942570640597
0.9978213695232847, 1.49167829114072e-7
1.1213058004960044, 8.429774671037761e-8
1.273551598236429, 4.382615605984744e-8
1.4887451777349132, 2.2558028325497416e-8
1.7757130063378341, 1.1567216372611234e-8
2.100656172499311, 6.89628767653277e-9
2.486437379443373, 4.385560299099753e-9
2.949891499035547, 2.7425945270964516e-9
3.487315720584183, 1.7961188583507798e-9
3.929457150730229, 1.3453545193611632e-9
4.364752686690548, 1.037431785668814e-9
4.765818751722238, 8.125618269545533e-10
4.991087420777074, 7.157098241542585e-10
